DRX,6,1,0,0,0
Caitlyn,Varus,Elise,Akali,Sylas
LSB,12,9,4,0,1
Renekton,Ashe,Maokai,Ryze,KSante
Rascal
Gnar,Flash,Teleport,3364,3053,1057,3047,3066,3078
0/5/0,0.0,279,8.9,10693k,5902
Croco
Vi,Smite,Flash,3364,2055,1029,6667,3071,3111
1/2/3,2.0,155,5,8788k,6080
FATE
LeBlanc,Teleport,Flash,3364,2420,1058,6655,3020,4645,1082
4/1/0,4.0,240,7.7,11260k,20139
deokdam
Zeri,Flash,Heal,3363,2055,6675,3006,1055,3086,6673
1/1/2,3.0,293,9.4,11496k,8441
BeryL
Lulu,Dot,Flash,3364,3853,2065,3114,3009
0/3/4,1.3,17,0.5,6448k,4030
Burdol
Jayce,Teleport,Flash,3364,6694,2055,3142,3042,6692,3158
7/1/2,9.0,310,9.9,15919k,23899
Willer
Sejuani,Flash,Smite,3364,3047,6667,1011,3067,1028
2/1/3,5.0,171,5.5,10010k,7076
Clozer
Azir,Teleport,Flash,3363,2033,6653,3102,1058,3020
1/1/5,6.0,272,8.7,11556k,15354
Envyy
Lucian,Flash,Dot,3363,6675,6671,2031,1038,2422,3094
1/3/4,1.7,299,9.6,12357k,15582
Kael
Nami,Heal,Flash,3364,1004,3853,2055,3158,3916,4005
1/0/7,8.0,7,0.2,7126k,4873
|
DRX,15,10,3,1,1
Caitlyn,Lucian,Ashe,Kassadin,RenataGlasc
LSB,2,2,1,0,0
Renekton,Draven,Varus,KSante,Tryndamere
Rascal
Sion,Flash,Teleport,3364,2421,2055,3075,3047,3110,3068
0/5/0,0.0,279,8.9,10693k,5902
Croco
Maokai,Smite,Flash,3364,6667,4637,3158
1/2/3,2.0,155,5,8788k,6080
FATE
Azir,Teleport,Flash,3364,3157,1058,1058,3020,6655,1082
4/1/0,4.0,240,7.7,11260k,20139
deokdam
Zeri,Flash,Haste,3363,3086,3006,6675,6673,1055
1/1/2,3.0,293,9.4,11496k,8441
BeryL
Lulu,Heal,Flash,3364,3860,2065,3158,3114
0/3/4,1.3,17,0.5,6448k,4030
Burdol
Yone,Teleport,Flash,3364,1053,1042,1042,3031,6673,3006
7/1/2,9.0,310,9.9,15919k,23899
Willer
Elise,Flash,Smite,3364,4636,3020,4632,3108,2055
2/1/3,5.0,171,5.5,10010k,7076
Clozer
Jayce,Teleport,Flash,3363,3133,3111,6692,3042,1054
1/1/5,6.0,272,8.7,11556k,15354
Envyy
Aphelios,Flash,Boost,3363,1036,6671,3031,1055,1036,3006
1/3/4,1.7,299,9.6,12357k,15582
Kael
Nautilus,Dot,Flash,3364,2031,3860,2055,3111,3001
1/0/7,8.0,7,0.2,7126k,4873
|
LSB,15,8,3,1,1
Renekton,Kassadin,Elise,Jayce,Jax
DRX,3,0,0,0,1
Maokai,Ashe,Caitlyn,Akali,Sylas
Rascal
Gnar,Teleport,Flash,3364,1057,3071,3078,3047
0/5/0,0.0,279,8.9,10693k,5902
Croco
MonkeyKing,Flash,Smite,3364,3155,6632,3111,1028,1037
1/2/3,2.0,155,5,8788k,6080
FATE
Azir,Teleport,Flash,3363,2033,2420,3191,6655,3108,3020
4/1/0,4.0,240,7.7,11260k,20139
deokdam
Lucian,Flash,Dot,3363,3508,1037,1018,2422,6672
1/1/2,3.0,293,9.4,11496k,8441
BeryL
Sona,Heal,Flash,3364,3158,3853,2065,3070,3916
0/3/4,1.3,17,0.5,6448k,4030
Burdol
KSante,Haste,Teleport,3364,6665,1031,3047,6660,1054
7/1/2,9.0,310,9.9,15919k,23899
Willer
Vi,Smite,Flash,3364,3105,3067,3071,3158
2/1/3,5.0,171,5.5,10010k,7076
Clozer
LeBlanc,Teleport,Flash,3364,2033,6655,1056,3020,1082,4630
1/1/5,6.0,272,8.7,11556k,15354
Envyy
Zeri,Flash,Haste,3363,2055,3086,3006,1042,1042,6673
1/3/4,1.7,299,9.6,12357k,15582
Kael
Nami,Heal,Flash,3364,3853,2031,2055,4005,1052,2422
1/0/7,8.0,7,0.2,7126k,4873
|