T1,VICTORY,16,9,3,1,1
Annie,Vi,MonkeyKing,Viego,Malphite
LSB,DEFEAT,14,5,3,1,1
Milio,Neeko,KSante,Sejuani,Gnar
Zeus
Gragas,Teleport,Flash,3364,6665,3068,3105,2055,8001,3158
2/2/9,5.5,291,7.4,14272,20393
Oner
Sion,Smite,Flash,3364,3068,6665,3075,3047
1/5/8,1.8,201,5.1,12056,8661
Faker
Azir,Teleport,Flash,3363,4644,3020,3108,3135,3089,4645
7/4/9,4.0,344,8.7,16951,32814
Gumayusi
Aphelios,Boost,Flash,3363,3036,6671,3006,3072,6672
5/3/7,4.0,432,11,19458,27824
Keria
Yuumi,Heal,Exhaust,3364,6620,3853,3504,4642,3108
1/1/13,14.0,6,0.2,9246,11593
Burdol
Renekton,Teleport,Flash,3364,2420,1057,6630,3082,3053,3111
1/4/5,1.5,264,6.7,12914,19266
Willer
Nocturne,Flash,Smite,3364,2421,3071,1031,6631,3111
1/4/8,2.2,202,5.1,11620,8165
Clozer
Ahri,Teleport,Flash,3363,6656,3108,3089,3135,3102,3111
3/2/9,6.0,349,8.9,16018,22111
Teddy
Zeri,Flash,Boost,3363,3006,3085,3748,6672,3078,3026
8/1/3,11.0,419,10.7,19653,30735
Kael
Nautilus,Dot,Flash,3364,3076,3860,2055,2421,3111,3001
1/5/8,1.8,33,0.8,8668,5652
|
LSB,DEFEAT,6,1,0,0,2
Milio,Annie,KSante,Sivir,Lucian
T1,VICTORY,18,11,4,1,0
Neeko,Aphelios,MonkeyKing,Nocturne,Viego
Zeus
Jax,Teleport,Flash,3340,2055,1036,3071,6632,3047
2/2/9,5.5,291,7.4,14272,20393
Oner
Sejuani,Flash,Smite,3364,2055,6667,3111,6660,1031
1/5/8,1.8,201,5.1,12056,8661
Faker
Ahri,Teleport,Flash,3364,6656,2033,2055,4628,1058,3111
7/4/9,4.0,344,8.7,16951,32814
Gumayusi
Zeri,Flash,Boost,3363,3006,3085,3077,1011,3078,1028
5/3/7,4.0,432,11,19458,27824
Keria
Nautilus,Dot,Flash,3364,2031,2055,3860,3076,3047,3001
1/1/13,14.0,6,0.2,9246,11593
Burdol
Poppy,Teleport,Flash,3364,6665,3068,3105,1033,3111
1/4/5,1.5,264,6.7,12914,19266
Willer
Vi,Smite,Flash,3364,2055,1029,6667,3071,2421,3111
1/4/8,2.2,202,5.1,11620,8165
Clozer
Azir,Teleport,Flash,3363,3108,3135,2424,6653,3191,3020
3/2/9,6.0,349,8.9,16018,22111
Teddy
Nilah,Boost,Haste,3364,6676,3072,6671,3006,1053,1018
8/1/3,11.0,419,10.7,19653,30735
Kael
Yuumi,Dot,Exhaust,3364,6620,3853,3504,4005
1/5/8,1.8,33,0.8,8668,5652