GEN,VICTORY,12,11,4,2,1
Leblanc,Sejuani,Tristana,Lulu,Xayah
LSB,DEFEAT,4,3,2,1,1
Poppy,Kaisa,Vi,Alistar,Zeri
Doran
Jax,Teleport,Flash,3340,3071,3157,3156,6632,3026,3047
2/2/4,3.0,387,9.4,18578,14739
Peanut
Maokai,Flash,Smite,3364,2055,6667,3047,8020,4637,3024
1/0/9,10.0,218,5.3,13185,20207
Chovy
Yone,Teleport,Flash,3364,3153,3140,3026,3031,3072,3006
5/0/5,10.0,455,11,19805,22469
Peyz
Samira,Boost,Flash,3363,3111,3026,3036,6676,3072,6691
4/1/5,9.0,466,11.3,19401,11294
Delight
Nautilus,Dot,Flash,3364,3111,2421,3860,2055,8020,3001
0/1/8,8.0,50,1.2,10064,5000
Clear
Renekton,Teleport,Flash,3364,3047,6630,2421,3071,6609
0/3/2,0.7,330,8,13600,14621
Willer
MonkeyKing,Flash,Smite,3364,3047,6632,3071,2421,1031
1/3/2,1.0,207,5,11989,5084
Clozer
Azir,Teleport,Flash,3363,4644,3916,3135,3020,3115,3089
2/1/2,4.0,458,11.1,18332,27944
Teddy
Varus,Flash,Boost,3363,3142,3814,3134,3042,6694,3158
1/2/2,1.5,387,9.4,16444,16329
Kael
Rell,Dot,Flash,3364,3001,3860,2421,3047,3067
0/3/1,0.3,33,0.8,8252,2793
|
LSB,DEFEAT,13,3,1,1,1
Poppy,Tristana,Vi,Samira,Draven
GEN,VICTORY,23,8,4,1,1
Leblanc,Kaisa,Sejuani,Alistar,Xayah
Doran
Renekton,Teleport,Flash,3364,3071,6630,3026,1028,3111
2/2/4,3.0,387,9.4,18578,14739
Peanut
Maokai,Flash,Smite,3364,6667,4637,3111,1028,2421
1/0/9,10.0,218,5.3,13185,20207
Chovy
Azir,Teleport,Flash,3363,3157,1058,6653,3020,4645
5/0/5,10.0,455,11,19805,22469
Peyz
Lucian,Flash,Boost,3363,3158,6672,2420,1038,6675,3036
4/1/5,9.0,466,11.3,19401,11294
Delight
Nautilus,Dot,Flash,3364,3001,2055,3860,1028,3023,3111
0/1/8,8.0,50,1.2,10064,5000
Clear
Jax,Teleport,Flash,3340,6632,3157,2055,3111,3071,3024
0/3/2,0.7,330,8,13600,14621
Willer
Rell,Flash,Smite,3364,3047,3068,8020,3001
1/3/2,1.0,207,5,11989,5084
Clozer
Yone,Teleport,Flash,3364,3153,1033,3072,3031,3006
2/1/2,4.0,458,11.1,18332,27944
Teddy
Zeri,Boost,Flash,3363,3139,3006,3026,3087,3072,6675
1/2/2,1.5,387,9.4,16444,16329
Kael
Leona,Dot,Flash,3364,3111,3001,3857,1057,3067
0/3/1,0.3,33,0.8,8252,2793